,screenId,icon_path,bounds,reference_captions,icon_context,generated_caption
0,29957,29957_1.jpg,"[35, 119, 84, 196]",go back|go back|previous,"{""app activity name"": ""com.ak.app.firehouse.activity.Tabbars"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""backBtn""}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""class"": ""ImageView""}, {""class"": ""ImageView""}, {""resource_id"": ""contentContainer"", ""class"": ""ScrollView""}]}",go back
1,70236,70236_1.jpg,"[0, 2182, 286, 2392]",open activity menu|this is the activity button|toggle activity tab,"{""app activity name"": ""com.canvsly.android.app.activities.ArtistsHomeActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""tab_activity"", ""OCR detected text"": [""Activity""]}, ""parent node"": [{""resource_id"": ""view_tabbar""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""tab_artist"", ""class"": ""ImageView""}, {""resource_id"": ""tab_camera"", ""class"": ""ImageView""}, {""resource_id"": ""tab_print"", ""class"": ""ImageView""}, {""resource_id"": ""tab_circle"", ""class"": ""ImageView""}]}",activity
2,70236,70236_2.jpg,"[286, 2182, 575, 2392]",click to view artist|open artist page,"{""app activity name"": ""com.canvsly.android.app.activities.ArtistsHomeActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""tab_artist"", ""OCR detected text"": [""Artist""]}, ""parent node"": [{""resource_id"": ""view_tabbar""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""tab_activity"", ""class"": ""ImageView""}, {""resource_id"": ""tab_activity"", ""class"": ""ImageView""}, {""resource_id"": ""tab_camera"", ""class"": ""ImageView""}, {""resource_id"": ""tab_print"", ""class"": ""ImageView""}, {""resource_id"": ""tab_circle"", ""class"": ""ImageView""}]}",go to artist
3,70236,70236_3.jpg,"[575, 2182, 864, 2392]",open camera|take photo,"{""app activity name"": ""com.canvsly.android.app.activities.ArtistsHomeActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""tab_camera"", ""OCR detected text"": [""Camera""]}, ""parent node"": [{""resource_id"": ""view_tabbar""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""tab_activity"", ""class"": ""ImageView""}, {""resource_id"": ""tab_artist"", ""class"": ""ImageView""}, {""resource_id"": ""tab_artist"", ""class"": ""ImageView""}, {""resource_id"": ""tab_print"", ""class"": ""ImageView""}, {""resource_id"": ""tab_circle"", ""class"": ""ImageView""}]}",go to camera
4,70236,70236_4.jpg,"[1153, 2182, 1440, 2392]",go to my circle|the people circle widget,"{""app activity name"": ""com.canvsly.android.app.activities.ArtistsHomeActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""tab_circle"", ""OCR detected text"": [""Circle""]}, ""parent node"": [{""resource_id"": ""view_tabbar""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""tab_activity"", ""class"": ""ImageView""}, {""resource_id"": ""tab_artist"", ""class"": ""ImageView""}, {""resource_id"": ""tab_camera"", ""class"": ""ImageView""}, {""resource_id"": ""tab_print"", ""class"": ""ImageView""}, {""resource_id"": ""tab_print"", ""class"": ""ImageView""}]}",go to circle
5,46516,46516_1.jpg,"[56, 1692, 196, 1832]",location toggle|open navigation,"{""app activity name"": ""com.cardfree.blimpandroid.locator.LocatorActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""update_position_button""}, ""parent node"": [{""resource_id"": ""button_holder""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""refresh_map_text"", ""text"": ""REFRESH MAP"", ""class"": ""TextView""}, {""resource_id"": ""refresh_map_image"", ""class"": ""ImageView""}, {""resource_id"": ""history_button"", ""class"": ""ImageView""}, {""resource_id"": ""space_between_hist_search"", ""class"": ""View""}, {""resource_id"": ""search_button"", ""class"": ""ImageView""}]}",go to location
6,46516,46516_2.jpg,"[1284, 1692, 1424, 1832]",display time|time option,"{""app activity name"": ""com.cardfree.blimpandroid.locator.LocatorActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""history_button""}, ""parent node"": [{""resource_id"": ""button_holder""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""update_position_button"", ""class"": ""ImageView""}, {""resource_id"": ""refresh_map_text"", ""text"": ""REFRESH MAP"", ""class"": ""TextView""}, {""resource_id"": ""refresh_map_image"", ""class"": ""ImageView""}, {""resource_id"": ""refresh_map_image"", ""class"": ""ImageView""}, {""resource_id"": ""space_between_hist_search"", ""class"": ""View""}, {""resource_id"": ""search_button"", ""class"": ""ImageView""}]}",go to clock
7,46516,46516_3.jpg,"[1142, 1692, 1282, 1832]",search|search the map|this label find option,"{""app activity name"": ""com.cardfree.blimpandroid.locator.LocatorActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""search_button""}, ""parent node"": [{""resource_id"": ""button_holder""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""update_position_button"", ""class"": ""ImageView""}, {""resource_id"": ""refresh_map_text"", ""text"": ""REFRESH MAP"", ""class"": ""TextView""}, {""resource_id"": ""refresh_map_image"", ""class"": ""ImageView""}, {""resource_id"": ""history_button"", ""class"": ""ImageView""}, {""resource_id"": ""space_between_hist_search"", ""class"": ""View""}, {""resource_id"": ""space_between_hist_search"", ""class"": ""View""}]}",search
8,65498,65498_1.jpg,"[61, 320, 201, 460]",search for numbers|search phone number,"{""app activity name"": ""com.syncme.activities.main_activity.MainActivity"", ""UI element info"": {""class_name"": ""AppCompatImageButton"", ""resource_id"": ""fragment_history__navButton""}, ""parent node"": [{""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""focusStealer"", ""class"": ""View""}, {""resource_id"": ""focusStealer"", ""class"": ""View""}, {""resource_id"": ""edit"", ""text"": ""Search over 1 billion numbers"", ""class"": ""AppCompatEditText""}]}",search the web
9,14911,14911_1.jpg,"[1250, 726, 1429, 905]",open the file|open this account,"{""app activity name"": ""com.KrackenApps.outl00k.activity.Accounts"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""folders""}, ""parent node"": [{""resource_id"": ""folder_button_wrapper""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""class"": ""View""}, {""class"": ""View""}]}",open folder
